"","Circuit","Max_Speed"
"1","Albert Park Grand Prix Circuit",236.74
"2","Hungaroring",205.823
"3","Silverstone Circuit",243.494
"4","Circuit de Spa-Francorchamps",238.931
"5","Autodromo Nazionale di Monza",257.32
"6","Marina Bay Street Circuit",178.86
"7","Sochi Autodrom",219.847
"8","Suzuka Circuit",229.77
"9","Circuit of the Americas",206.374
"10","Autódromo Hermanos Rodríguez",199.223
"11","Autódromo José Carlos Pace",219.909
"12","Yas Marina Circuit",220.8
"13","Hockenheimring",223.182
"14","Bahrain International Circuit",230.214
"15","Shanghai International Circuit",212.749
"16","Baku City Circuit",209.795
"17","Circuit de Barcelona-Catalunya",220.213
"18","Circuit de Monaco",164.769
"19","Circuit Gilles Villeneuve",214.833
"20","Circuit Paul Ricard",226.775
"21","Red Bull Ring",236.894
"22","Autodromo Internazionale del Mugello",239.518
"23","Nürburgring",210.267
"24","Autódromo Internacional do Algarve",212.708
"25","Autodromo Enzo e Dino Ferrari",234.121
"26","Istanbul Park",226.693
"27","Losail International Circuit",232.799
"28","Circuit Park Zandvoort",215.654
"29","Jeddah Corniche Circuit",244.962
"30","Miami International Autodrome",213.255
"31","Sepang International Circuit",212.104
"32","Valencia Street Circuit",197.687
"33","Circuit de Nevers Magny-Cours",210.669
"34","Indianapolis Motor Speedway",214.366
"43","Fuji Speedway",209.456
"44","Korean International Circuit",202.941
"73","Buddh International Circuit",211.463
