"","Accident.Names","Accident.ratio"
"1","Adelaide Street Circuit",0.0416666666666667
"2","Ain Diab",0.2
"3","Aintree",0.0348837209302326
"4","Albert Park Grand Prix Circuit",0.0305676855895196
"5","Autódromo do Estoril",0.0299727520435967
"6","Autodromo Enzo e Dino Ferrari",0.0160213618157543
"7","Autódromo Hermanos Rodríguez",0.0176470588235294
"8","Autódromo Internacional Nelson Piquet",0.0247349823321555
"9","Autódromo José Carlos Pace",0.0429732868757259
"10","Autódromo Juan y Oscar Gálvez",0.0208333333333333
"11","Autodromo Nazionale di Monza",0.0309343434343434
"12","AVUS",0.0666666666666667
"13","Bahrain International Circuit",0.0075
"14","Baku City Circuit",0.040983606557377
"15","Brands Hatch",0.0481283422459893
"16","Buddh International Circuit",0.0285714285714286
"17","Charade Circuit",0.0384615384615385
"18","Circuit de Barcelona-Catalunya",0.00701262272089762
"19","Circuit de Monaco",0.065402223675605
"20","Circuit de Nevers Magny-Cours",0.0119617224880383
"21","Circuit de Spa-Francorchamps",0.0437158469945355
"22","Circuit Gilles Villeneuve",0.043607532210109
"23","Circuit Mont-Tremblant",0.048780487804878
"24","Circuit of the Americas",0.0145631067961165
"25","Circuit Park Zandvoort",0.0655737704918033
"26","Circuit Paul Ricard",0.024948024948025
"27","Circuito da Boavista",0.0666666666666667
"28","Circuito de Jerez",0.00490196078431373
"29","Detroit Street Circuit",0.104712041884817
"30","Dijon-Prenois",0.0467836257309941
"31","Fair Park",0.0384615384615385
"32","Fuji Speedway",0.043956043956044
"33","Hockenheimring",0.0267952840300107
"34","Hungaroring",0.0195627157652474
"35","Indianapolis Motor Speedway",0.0773809523809524
"36","Jarama",0.0677966101694915
"37","Jeddah Corniche Circuit",0.05
"38","Korean International Circuit",0.0319148936170213
"39","Kyalami",0.0601659751037344
"40","Las Vegas Street Circuit",0.0333333333333333
"41","Long Beach",0.122727272727273
"42","Marina Bay Street Circuit",0.0611510791366906
"43","Monsanto Park Circuit",0.125
"44","Montjuïc",0.119047619047619
"45","Mosport International Raceway",0.0862944162436548
"46","Nivelles-Baulers",0.0526315789473684
"47","Nürburgring",0.0672371638141809
"48","Phoenix street circuit",0.00925925925925926
"49","Prince George Circuit",0.0266666666666667
"50","Red Bull Ring",0.0371660859465738
"51","Reims-Gueux",0.0359712230215827
"52","Riverside International Raceway",0.0434782608695652
"53","Rouen-Les-Essarts",0.0892857142857143
"54","Scandinavian Raceway",0.050314465408805
"55","Sebring International Raceway",0.0526315789473684
"56","Sepang International Circuit",0.00975609756097561
"57","Shanghai International Circuit",0.0175438596491228
"58","Silverstone Circuit",0.0276872964169381
"59","Sochi Autodrom",0.0184049079754601
"60","Suzuka Circuit",0.033288948069241
"61","Valencia Street Circuit",0.00892857142857143
"62","Watkins Glen",0.0494845360824742
"63","Yas Marina Circuit",0.00675675675675676
"64","Zeltweg",0.1
"65","Zolder",0.124113475177305
